txn_id,merchant_id,payer_id,amount,timestamp,status,is_flagged,flag_reason,score,risk_band,loan_limit,feature_contributions
T000001,M003,P0934,540.15,2025-01-01 00:00:00,failed,False,,34.2,high,671000,"{'total_inflow': 'INR 55,132', 'active_days': 31, 'avg_amount': 'INR 380.22', 'fail_pending_ratio': '73.10%', 'primary_driver': 'mixed'}"
T000002,M019,P0807,1.0,2025-01-01 00:15:00,failed,False,,32.5,high,662500,"{'total_inflow': 'INR 42,332', 'active_days': 32, 'avg_amount': 'INR 338.66', 'fail_pending_ratio': '66.40%', 'primary_driver': 'activity'}"
T000003,M016,P1116,31.95,2025-01-01 00:30:00,completed,False,,39.0,high,695000,"{'total_inflow': 'INR 46,658', 'active_days': 32, 'avg_amount': 'INR 367.39', 'fail_pending_ratio': '65.35%', 'primary_driver': 'activity'}"
T000004,M011,P1153,277.77,2025-01-01 00:45:00,completed,False,,72.7,low,863500,"{'total_inflow': 'INR 77,049', 'active_days': 32, 'avg_amount': 'INR 487.65', 'fail_pending_ratio': '69.62%', 'primary_driver': 'volume'}"
T000005,M011,P0846,214.87,2025-01-01 01:00:00,failed,False,,72.7,low,863500,"{'total_inflow': 'INR 77,049', 'active_days': 32, 'avg_amount': 'INR 487.65', 'fail_pending_ratio': '69.62%', 'primary_driver': 'volume'}"
T000006,M021,P0446,577.73,2025-01-01 01:15:00,completed,False,,60.3,medium,801500,"{'total_inflow': 'INR 73,649', 'active_days': 31, 'avg_amount': 'INR 491.00', 'fail_pending_ratio': '70.67%', 'primary_driver': 'volume'}"
T000007,M003,P0719,354.4,2025-01-01 01:30:00,completed,False,,34.2,high,671000,"{'total_inflow': 'INR 55,132', 'active_days': 31, 'avg_amount': 'INR 380.22', 'fail_pending_ratio': '73.10%', 'primary_driver': 'mixed'}"
T000008,M017,P0511,326.22,2025-01-01 01:45:00,completed,False,,46.4,medium,732000,"{'total_inflow': 'INR 61,103', 'active_days': 30, 'avg_amount': 'INR 513.47', 'fail_pending_ratio': '61.34%', 'primary_driver': 'mixed'}"
T000009,M005,P0755,390.89,2025-01-01 02:00:00,failed,False,,37.4,high,687000,"{'total_inflow': 'INR 45,949', 'active_days': 32, 'avg_amount': 'INR 370.56', 'fail_pending_ratio': '70.16%', 'primary_driver': 'activity'}"
T000010,M003,P0975,426.04,2025-01-01 02:15:00,pending,False,,34.2,high,671000,"{'total_inflow': 'INR 55,132', 'active_days': 31, 'avg_amount': 'INR 380.22', 'fail_pending_ratio': '73.10%', 'primary_driver': 'mixed'}"
T000011,M013,P0444,480.69,2025-01-01 02:30:00,pending,False,,58.2,medium,791000,"{'total_inflow': 'INR 81,058', 'active_days': 30, 'avg_amount': 'INR 529.79', 'fail_pending_ratio': '72.55%', 'primary_driver': 'volume'}"
T000012,M024,P0607,139.46,2025-01-01 02:45:00,pending,False,,61.6,medium,808000,"{'total_inflow': 'INR 81,532', 'active_days': 30, 'avg_amount': 'INR 522.64', 'fail_pending_ratio': '60.90%', 'primary_driver': 'volume'}"
T000013,M018,P0055,485.88,2025-01-01 03:00:00,failed,False,,38.3,high,691500,"{'total_inflow': 'INR 46,069', 'active_days': 32, 'avg_amount': 'INR 354.38', 'fail_pending_ratio': '61.54%', 'primary_driver': 'activity'}"
T000014,M019,P0884,290.94,2025-01-01 03:15:00,completed,False,,32.5,high,662500,"{'total_inflow': 'INR 42,332', 'active_days': 32, 'avg_amount': 'INR 338.66', 'fail_pending_ratio': '66.40%', 'primary_driver': 'activity'}"
T000015,M018,P0588,1.0,2025-01-01 03:30:00,failed,False,,38.3,high,691500,"{'total_inflow': 'INR 46,069', 'active_days': 32, 'avg_amount': 'INR 354.38', 'fail_pending_ratio': '61.54%', 'primary_driver': 'activity'}"
T000016,M019,P0552,166.74,2025-01-01 03:45:00,failed,False,,32.5,high,662500,"{'total_inflow': 'INR 42,332', 'active_days': 32, 'avg_amount': 'INR 338.66', 'fail_pending_ratio': '66.40%', 'primary_driver': 'activity'}"
T000017,M013,P0639,445.62,2025-01-01 04:00:00,failed,False,,58.2,medium,791000,"{'total_inflow': 'INR 81,058', 'active_days': 30, 'avg_amount': 'INR 529.79', 'fail_pending_ratio': '72.55%', 'primary_driver': 'volume'}"
T000018,M004,P0259,383.19,2025-01-01 04:15:00,completed,False,,31.4,high,657000,"{'total_inflow': 'INR 50,980', 'active_days': 31, 'avg_amount': 'INR 344.46', 'fail_pending_ratio': '59.46%', 'primary_driver': 'mixed'}"
T000019,M021,P0718,701.17,2025-01-01 04:30:00,completed,False,,60.3,medium,801500,"{'total_inflow': 'INR 73,649', 'active_days': 31, 'avg_amount': 'INR 491.00', 'fail_pending_ratio': '70.67%', 'primary_driver': 'volume'}"
T000020,M011,P0895,345.06,2025-01-01 04:45:00,failed,False,,72.7,low,863500,"{'total_inflow': 'INR 77,049', 'active_days': 32, 'avg_amount': 'INR 487.65', 'fail_pending_ratio': '69.62%', 'primary_driver': 'volume'}"
T000021,M013,P0420,404.8,2025-01-01 05:00:00,failed,False,,58.2,medium,791000,"{'total_inflow': 'INR 81,058', 'active_days': 30, 'avg_amount': 'INR 529.79', 'fail_pending_ratio': '72.55%', 'primary_driver': 'volume'}"
T000022,M009,P0158,355.1,2025-01-01 05:15:00,completed,False,,21.5,high,607500,"{'total_inflow': 'INR 38,938', 'active_days': 31, 'avg_amount': 'INR 338.59', 'fail_pending_ratio': '61.74%', 'primary_driver': 'mixed'}"
T000023,M005,P0465,62.01,2025-01-01 05:30:00,completed,False,,37.4,high,687000,"{'total_inflow': 'INR 45,949', 'active_days': 32, 'avg_amount': 'INR 370.56', 'fail_pending_ratio': '70.16%', 'primary_driver': 'activity'}"
T000024,M023,P0239,227.31,2025-01-01 05:45:00,pending,False,,25.6,high,628000,"{'total_inflow': 'INR 45,777', 'active_days': 31, 'avg_amount': 'INR 339.09', 'fail_pending_ratio': '64.44%', 'primary_driver': 'mixed'}"
T000025,M019,P0449,715.65,2025-01-01 06:00:00,pending,False,,32.5,high,662500,"{'total_inflow': 'INR 42,332', 'active_days': 32, 'avg_amount': 'INR 338.66', 'fail_pending_ratio': '66.40%', 'primary_driver': 'activity'}"
T000026,M016,P0753,535.05,2025-01-01 06:15:00,completed,False,,39.0,high,695000,"{'total_inflow': 'INR 46,658', 'active_days': 32, 'avg_amount': 'INR 367.39', 'fail_pending_ratio': '65.35%', 'primary_driver': 'activity'}"
T000027,M010,P0137,340.41,2025-01-01 06:30:00,pending,False,,61.9,medium,809500,"{'total_inflow': 'INR 70,200', 'active_days': 31, 'avg_amount': 'INR 520.00', 'fail_pending_ratio': '67.41%', 'primary_driver': 'volume'}"
T000028,M020,P0897,244.87,2025-01-01 06:45:00,failed,False,,41.3,medium,706500,"{'total_inflow': 'INR 47,517', 'active_days': 32, 'avg_amount': 'INR 386.32', 'fail_pending_ratio': '66.67%', 'primary_driver': 'activity'}"
T000029,M014,P0270,371.44,2025-01-01 07:00:00,failed,False,,20.5,high,602500,"{'total_inflow': 'INR 40,580', 'active_days': 31, 'avg_amount': 'INR 346.84', 'fail_pending_ratio': '71.79%', 'primary_driver': 'mixed'}"
T000030,M011,P1074,208.83,2025-01-01 07:15:00,failed,False,,72.7,low,863500,"{'total_inflow': 'INR 77,049', 'active_days': 32, 'avg_amount': 'INR 487.65', 'fail_pending_ratio': '69.62%', 'primary_driver': 'volume'}"
T000031,M011,P0879,327.49,2025-01-01 07:30:00,pending,False,,72.7,low,863500,"{'total_inflow': 'INR 77,049', 'active_days': 32, 'avg_amount': 'INR 487.65', 'fail_pending_ratio': '69.62%', 'primary_driver': 'volume'}"
T000032,M006,P0328,763.94,2025-01-01 07:45:00,pending,False,,16.2,high,581000,"{'total_inflow': 'INR 42,099', 'active_days': 29, 'avg_amount': 'INR 375.88', 'fail_pending_ratio': '66.96%', 'primary_driver': 'mixed'}"
T000033,M003,P0676,333.85,2025-01-01 08:00:00,failed,False,,34.2,high,671000,"{'total_inflow': 'INR 55,132', 'active_days': 31, 'avg_amount': 'INR 380.22', 'fail_pending_ratio': '73.10%', 'primary_driver': 'mixed'}"
T000034,M014,P0133,314.79,2025-01-01 08:15:00,completed,False,,20.5,high,602500,"{'total_inflow': 'INR 40,580', 'active_days': 31, 'avg_amount': 'INR 346.84', 'fail_pending_ratio': '71.79%', 'primary_driver': 'mixed'}"
T000035,M022,P0120,396.67,2025-01-01 08:30:00,failed,False,,28.9,high,644500,"{'total_inflow': 'INR 37,004', 'active_days': 32, 'avg_amount': 'INR 345.83', 'fail_pending_ratio': '72.90%', 'primary_driver': 'activity'}"
T000036,M002,P1148,269.53,2025-01-01 08:45:00,failed,False,,32.9,high,664500,"{'total_inflow': 'INR 39,488', 'active_days': 32, 'avg_amount': 'INR 358.98', 'fail_pending_ratio': '65.45%', 'primary_driver': 'activity'}"
T000037,M021,P0963,387.9,2025-01-01 09:00:00,pending,False,,60.3,medium,801500,"{'total_inflow': 'INR 73,649', 'active_days': 31, 'avg_amount': 'INR 491.00', 'fail_pending_ratio': '70.67%', 'primary_driver': 'volume'}"
T000038,M020,P0186,389.96,2025-01-01 09:15:00,completed,False,,41.3,medium,706500,"{'total_inflow': 'INR 47,517', 'active_days': 32, 'avg_amount': 'INR 386.32', 'fail_pending_ratio': '66.67%', 'primary_driver': 'activity'}"
T000039,M007,P0340,599.07,2025-01-01 09:30:00,pending,False,,37.0,high,685000,"{'total_inflow': 'INR 43,682', 'active_days': 32, 'avg_amount': 'INR 376.57', 'fail_pending_ratio': '68.10%', 'primary_driver': 'activity'}"
T000040,M016,P0238,642.93,2025-01-01 09:45:00,failed,False,,39.0,high,695000,"{'total_inflow': 'INR 46,658', 'active_days': 32, 'avg_amount': 'INR 367.39', 'fail_pending_ratio': '65.35%', 'primary_driver': 'activity'}"
T000041,M004,P0475,339.37,2025-01-01 10:00:00,completed,False,,31.4,high,657000,"{'total_inflow': 'INR 50,980', 'active_days': 31, 'avg_amount': 'INR 344.46', 'fail_pending_ratio': '59.46%', 'primary_driver': 'mixed'}"
T000042,M019,P0350,262.63,2025-01-01 10:15:00,failed,False,,32.5,high,662500,"{'total_inflow': 'INR 42,332', 'active_days': 32, 'avg_amount': 'INR 338.66', 'fail_pending_ratio': '66.40%', 'primary_driver': 'activity'}"
T000043,M017,P0394,212.04,2025-01-01 10:30:00,failed,False,,46.4,medium,732000,"{'total_inflow': 'INR 61,103', 'active_days': 30, 'avg_amount': 'INR 513.47', 'fail_pending_ratio': '61.34%', 'primary_driver': 'mixed'}"
T000044,M009,P0636,769.58,2025-01-01 10:45:00,completed,False,,21.5,high,607500,"{'total_inflow': 'INR 38,938', 'active_days': 31, 'avg_amount': 'INR 338.59', 'fail_pending_ratio': '61.74%', 'primary_driver': 'mixed'}"
T000045,M002,P0227,497.5,2025-01-01 11:00:00,completed,False,,32.9,high,664500,"{'total_inflow': 'INR 39,488', 'active_days': 32, 'avg_amount': 'INR 358.98', 'fail_pending_ratio': '65.45%', 'primary_driver': 'activity'}"
T000046,M024,P1060,574.82,2025-01-01 11:15:00,completed,False,,61.6,medium,808000,"{'total_inflow': 'INR 81,532', 'active_days': 30, 'avg_amount': 'INR 522.64', 'fail_pending_ratio': '60.90%', 'primary_driver': 'volume'}"
T000047,M011,P0874,473.78,2025-01-01 11:30:00,failed,False,,72.7,low,863500,"{'total_inflow': 'INR 77,049', 'active_days': 32, 'avg_amount': 'INR 487.65', 'fail_pending_ratio': '69.62%', 'primary_driver': 'volume'}"
T000048,M022,P0913,71.39,2025-01-01 11:45:00,pending,False,,28.9,high,644500,"{'total_inflow': 'INR 37,004', 'active_days': 32, 'avg_amount': 'INR 345.83', 'fail_pending_ratio': '72.90%', 'primary_driver': 'activity'}"
T000049,M017,P0204,302.24,2025-01-01 12:00:00,failed,False,,46.4,medium,732000,"{'total_inflow': 'INR 61,103', 'active_days': 30, 'avg_amount': 'INR 513.47', 'fail_pending_ratio': '61.34%', 'primary_driver': 'mixed'}"
T000050,M019,P0850,1.0,2025-01-01 12:15:00,failed,False,,32.5,high,662500,"{'total_inflow': 'INR 42,332', 'active_days': 32, 'avg_amount': 'INR 338.66', 'fail_pending_ratio': '66.40%', 'primary_driver': 'activity'}"
T000051,M019,P1004,540.86,2025-01-01 12:30:00,pending,False,,32.5,high,662500,"{'total_inflow': 'INR 42,332', 'active_days': 32, 'avg_amount': 'INR 338.66', 'fail_pending_ratio': '66.40%', 'primary_driver': 'activity'}"
T000052,M005,P0211,483.13,2025-01-01 12:45:00,completed,False,,37.4,high,687000,"{'total_inflow': 'INR 45,949', 'active_days': 32, 'avg_amount': 'INR 370.56', 'fail_pending_ratio': '70.16%', 'primary_driver': 'activity'}"
T000053,M009,P0902,774.76,2025-01-01 13:00:00,completed,False,,21.5,high,607500,"{'total_inflow': 'INR 38,938', 'active_days': 31, 'avg_amount': 'INR 338.59', 'fail_pending_ratio': '61.74%', 'primary_driver': 'mixed'}"
T000054,M012,P0430,274.19,2025-01-01 13:15:00,failed,False,,62.0,medium,810000,"{'total_inflow': 'INR 72,872', 'active_days': 31, 'avg_amount': 'INR 509.60', 'fail_pending_ratio': '69.93%', 'primary_driver': 'volume'}"
T000055,M012,P0946,371.36,2025-01-01 13:30:00,failed,False,,62.0,medium,810000,"{'total_inflow': 'INR 72,872', 'active_days': 31, 'avg_amount': 'INR 509.60', 'fail_pending_ratio': '69.93%', 'primary_driver': 'volume'}"
T000056,M002,P0575,247.99,2025-01-01 13:45:00,completed,False,,32.9,high,664500,"{'total_inflow': 'INR 39,488', 'active_days': 32, 'avg_amount': 'INR 358.98', 'fail_pending_ratio': '65.45%', 'primary_driver': 'activity'}"
T000057,M014,P0963,236.43,2025-01-01 14:00:00,pending,False,,20.5,high,602500,"{'total_inflow': 'INR 40,580', 'active_days': 31, 'avg_amount': 'INR 346.84', 'fail_pending_ratio': '71.79%', 'primary_driver': 'mixed'}"
T000058,M004,P0177,418.16,2025-01-01 14:15:00,failed,False,,31.4,high,657000,"{'total_inflow': 'INR 50,980', 'active_days': 31, 'avg_amount': 'INR 344.46', 'fail_pending_ratio': '59.46%', 'primary_driver': 'mixed'}"
T000059,M018,P0467,1.0,2025-01-01 14:30:00,failed,False,,38.3,high,691500,"{'total_inflow': 'INR 46,069', 'active_days': 32, 'avg_amount': 'INR 354.38', 'fail_pending_ratio': '61.54%', 'primary_driver': 'activity'}"
T000060,M017,P0329,620.22,2025-01-01 14:45:00,pending,False,,46.4,medium,732000,"{'total_inflow': 'INR 61,103', 'active_days': 30, 'avg_amount': 'INR 513.47', 'fail_pending_ratio': '61.34%', 'primary_driver': 'mixed'}"
T000061,M023,P0299,422.35,2025-01-01 15:00:00,completed,False,,25.6,high,628000,"{'total_inflow': 'INR 45,777', 'active_days': 31, 'avg_amount': 'INR 339.09', 'fail_pending_ratio': '64.44%', 'primary_driver': 'mixed'}"
T000062,M018,P0370,319.33,2025-01-01 15:15:00,completed,False,,38.3,high,691500,"{'total_inflow': 'INR 46,069', 'active_days': 32, 'avg_amount': 'INR 354.38', 'fail_pending_ratio': '61.54%', 'primary_driver': 'activity'}"
T000063,M009,P0459,352.38,2025-01-01 15:30:00,pending,False,,21.5,high,607500,"{'total_inflow': 'INR 38,938', 'active_days': 31, 'avg_amount': 'INR 338.59', 'fail_pending_ratio': '61.74%', 'primary_driver': 'mixed'}"
