txn_id,merchant_id,payer_id,amount,timestamp,status,is_flagged
T000020,M001,P0037,557.18,2025-01-01 02:00:00,pending,False
T000010,M001,P0054,210.95,2025-01-02 05:00:00,completed,False
T000084,M001,P0028,399.66,2025-01-02 16:00:00,completed,False
T000021,M001,P0014,237.95,2025-01-03 00:00:00,completed,False
T000006,M001,P0051,330.34,2025-01-03 04:00:00,completed,False
T000061,M001,P0027,212.27,2025-01-03 07:00:00,completed,False
T000078,M001,P0026,619.38,2025-01-03 11:00:00,completed,False
T000060,M001,P0025,168.22,2025-01-03 17:00:00,completed,False
T000050,M001,P0014,253.62,2025-01-04 00:00:00,completed,False
T000024,M001,P0023,314.12,2025-01-04 04:00:00,completed,False
T000089,M001,P0056,413.53,2025-01-04 20:00:00,completed,False
T000098,M001,P0012,592.97,2025-01-05 02:00:00,completed,False
T000071,M001,P0035,305.06,2025-01-06 12:00:00,completed,False
T000069,M001,P0033,242.83,2025-01-06 14:00:00,completed,False
T000038,M001,P0029,303.27,2025-01-06 15:00:00,completed,False
T000065,M001,P0046,418.51,2025-01-07 03:00:00,completed,False
T000047,M001,P0035,377.15,2025-01-08 03:00:00,completed,False
T000009,M001,P0050,303.62,2025-01-08 14:00:00,completed,False
T000030,M001,P0033,227.71,2025-01-09 04:00:00,completed,False
T000007,M001,P0026,106.79,2025-01-09 06:00:00,completed,False
T000045,M001,P0003,505.93,2025-01-09 08:00:00,completed,False
T000022,M001,P0015,444.1,2025-01-09 14:00:00,completed,False
T000088,M001,P0051,374.91,2025-01-10 01:00:00,completed,False
T000100,M001,P0017,398.55,2025-01-10 11:00:00,completed,False
T000002,M001,P0053,388.27,2025-01-11 23:00:00,completed,False
T000018,M001,P0033,312.89,2025-01-12 01:00:00,completed,False
T000044,M001,P0037,654.7,2025-01-12 04:00:00,completed,False
T000032,M001,P0002,398.49,2025-01-12 06:00:00,completed,False
T000052,M001,P0022,399.53,2025-01-12 18:00:00,completed,False
T000066,M001,P0023,486.27,2025-01-12 18:00:00,completed,False
T000004,M001,P0044,415.11,2025-01-12 21:00:00,completed,False
T000023,M001,P0052,360.45,2025-01-13 18:00:00,completed,False
T000171,M001,P5001,999.0,2025-01-14 02:00:00,completed,True
T000012,M001,P0060,455.81,2025-01-14 22:00:00,completed,False
T000025,M001,P0028,544.75,2025-01-15 10:00:00,failed,False
T000072,M001,P0050,195.05,2025-01-16 12:00:00,completed,False
T000043,M001,P0002,513.67,2025-01-16 15:00:00,pending,False
T000036,M001,P0024,212.02,2025-01-17 05:00:00,completed,False
T000056,M001,P0028,161.5,2025-01-17 11:00:00,completed,False
T000041,M001,P0025,303.41,2025-01-18 07:00:00,completed,False
T000008,M001,P0060,484.33,2025-01-20 14:00:00,completed,False
T000051,M001,P0017,465.61,2025-01-20 23:00:00,completed,False
T000090,M001,P0010,327.93,2025-01-21 03:00:00,completed,False
T000099,M001,P0047,567.64,2025-01-21 03:00:00,completed,False
T000068,M001,P0049,268.9,2025-01-22 21:00:00,completed,False
T000075,M001,P0058,305.79,2025-01-23 08:00:00,completed,False
T000176,M001,P5006,999.0,2025-01-23 14:00:00,completed,True
T000019,M001,P0022,464.0,2025-01-23 23:00:00,completed,False
T000003,M001,P0060,293.66,2025-01-24 02:00:00,completed,False
T000091,M001,P0018,347.49,2025-01-24 02:00:00,completed,False
T000016,M001,P0051,316.96,2025-01-24 10:00:00,completed,False
T000048,M001,P0025,451.69,2025-01-25 02:00:00,completed,False
T000028,M001,P0033,324.84,2025-01-25 06:00:00,completed,False
T000014,M001,P0041,263.62,2025-01-25 12:00:00,completed,False
T000095,M001,P0036,279.24,2025-01-25 21:00:00,completed,False
T000064,M001,P0013,237.46,2025-01-25 23:00:00,completed,False
T000074,M001,P0026,452.29,2025-01-26 04:00:00,failed,False
T000080,M001,P0021,442.96,2025-01-26 15:00:00,completed,False
T000062,M001,P0040,516.75,2025-01-26 16:00:00,completed,False
T000005,M001,P0051,319.87,2025-01-27 09:00:00,completed,False
T000029,M001,P0006,188.07,2025-01-27 19:00:00,completed,False
T000085,M001,P0060,122.31,2025-01-27 19:00:00,completed,False
T000097,M001,P0058,325.98,2025-01-28 13:00:00,completed,False
T000011,M001,P0048,376.24,2025-01-29 17:00:00,completed,False
T000094,M001,P0049,297.26,2025-01-30 16:00:00,completed,False
T000073,M001,P0028,270.59,2025-01-30 18:00:00,completed,False
T000042,M001,P0035,243.74,2025-01-31 09:00:00,completed,False
T000082,M001,P0058,178.38,2025-01-31 09:00:00,failed,False
